Sample,N_Points,4PL_EC50_log10M,4PL_EC50_uM,4PL_EC50_CI_lower_uM,4PL_EC50_CI_upper_uM,4PL_Hill,4PL_Hill_CI_lower,4PL_Hill_CI_upper,4PL_Bottom,4PL_Top,4PL_R2
"Loperamide A51T, N131S",8,-6.917755221126043,0.12084947800772376,0.11569640388850641,0.12623206810138524,1.5183654596923344,1.3572773155894438,1.679453603795225,0.15596067620358084,99.16206548598038,0.9998929872794848
"SNC-80 A51T, N131S",8,-8.681145241171995,0.0020837938830383113,0.002013421158587622,0.002156626261955971,1.253655487652471,1.213005857849679,1.294305117455263,0.4010610666553476,99.99705520873151,0.9999549395317036
Loperamide WT,8,-5.305835668509345,4.9449776323512955,4.917378196187521,4.972731974004575,1.431908990801738,1.4237691616456263,1.4400488199578496,0.4493910232030025,86.46960565287958,0.9999985135707202
SNC-80 WT,8,-7.933448725200455,0.011656046593488262,0.010160490136583447,0.01337173899715576,2.4700163436621234,0.35410052331821085,4.585932164006036,1.0920371420179562,82.82438482947063,0.9996999891042048
